method,dimension,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high,explained_variance_ratio_std,explained_variance_ratio_ci_low,explained_variance_ratio_ci_high
random,2,5,2,0.04140885735742664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7370413706411257,0.10120758302316678,0.6482019749729074,0.8090863282420091,0.6298900253603568,0.09534188918875025,0.5499632040383737,0.6953113771774275,1.198440567768143,0.07867762705132217,1.1406466355764764,1.2649081614382183,20.62332338604792,4.195539438402417,17.63244284402481,23.780996618662275,1.2639766468641611,0.16452412184341414,1.1411680143250116,1.3819185312837345,0.16271186440677968,0.056975377335496985,0.11864406779661016,0.20677966101694914,1.6271186440677965,0.5697537733549698,1.1864406779661016,2.0677966101694913,0.525,0.16298006013006622,0.4,0.625,0.352542372881356,0.0900062240498424,0.2915254237288135,0.43050847457627117,1.410169491525424,0.3600248961993696,1.1661016949152543,1.7084745762711866,0.675,0.18957188610128875,0.525,0.8,0.0,0.04140885735742664,0.04140885735742664
cvt,2,5,2,0.04140885735742664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786578282879956,0.027130908545547932,0.7594206894326956,0.8019182676983551,0.7436948344635452,0.038326671899356714,0.7180240178287637,0.7761009660117643,0.8430458340306266,0.005718379908944459,0.83864004614466,0.8473779966883435,6.144947201401916,0.1276243676996471,6.06758117693672,6.262573035962361,2.940813061272029,0.05007044016545342,2.9039652632964996,2.977660859247558,0.07796610169491525,0.01515978289830366,0.06779661016949153,0.09152542372881356,0.7796610169491525,0.1515978289830366,0.6779661016949152,0.9152542372881356,0.35,0.18540496217739158,0.225,0.5,0.2711864406779661,0.04941484656648559,0.23389830508474577,0.31186440677966104,1.0847457627118644,0.19765938626594237,0.9355932203389831,1.2474576271186444,0.675,0.06846531968814577,0.625,0.725,0.0,0.04140885735742664,0.04140885735742664
fps,2,5,2,0.04140885735742664,0.003389830508474576,0.0075798914491518295,0.0,0.01016949152542373,0.003333333333333333,0.007453559924999298,0.0,0.01,1.404863751497871,0.16776873958193647,1.2794469745663881,1.544948462423132,1.493294496422879,0.14971665376706156,1.3910189912515964,1.6280393761192236,1.4977510707101747,0.06795687625545363,1.4452347088529223,1.550267432567427,3.0124378414824102,0.08384482459956451,2.964812159979558,3.089122898197779,3.6421167591413672,0.03246605258911635,3.6257513675079784,3.672124413941122,0.10847457627118644,0.0582222509739582,0.06440677966101695,0.1559322033898305,1.0847457627118644,0.582222509739582,0.6440677966101694,1.5254237288135595,0.475,0.10458250331675945,0.4,0.55,0.3220338983050847,0.09205746178983233,0.2508474576271187,0.38983050847457623,1.2881355932203389,0.3682298471593293,1.0033898305084747,1.559322033898305,0.675,0.16770509831248423,0.55,0.8,0.0,0.04140885735742664,0.04140885735742664
kennard_stone,2,5,2,0.04140885735742664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2595524848216744,0.0,1.2595524848216744,1.2595524848216744,1.3139369948224557,0.0,1.3139369948224557,1.3139369948224557,1.4934744374988862,0.0,1.4934744374988862,1.4934744374988862,2.8943374369803823,0.0,2.8943374369803823,2.8943374369803823,3.608541869565676,4.965068306494546e-16,3.608541869565676,3.608541869565676,0.1864406779661017,0.0,0.1864406779661017,0.1864406779661017,1.8644067796610169,0.0,1.8644067796610169,1.8644067796610169,0.5,0.0,0.5,0.5,0.3559322033898305,0.0,0.3559322033898305,0.3559322033898305,1.423728813559322,0.0,1.423728813559322,1.423728813559322,0.75,0.0,0.75,0.75,0.0,0.04140885735742664,0.04140885735742664
ward,2,5,2,0.04140885735742664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8493148672123827,0.0,0.8493148672123827,0.8493148672123827,0.798949074445085,0.0,0.798949074445085,0.798949074445085,0.8648432919504467,1.2412670766236366e-16,0.8648432919504467,0.8648432919504467,6.361645763337833,0.0,6.361645763337833,6.361645763337833,2.8715006946091575,0.0,2.8715006946091575,2.8715006946091575,0.03389830508474576,0.0,0.03389830508474576,0.03389830508474576,0.3389830508474576,0.0,0.3389830508474576,0.3389830508474576,0.25,0.0,0.25,0.25,0.20338983050847456,3.1031676915590914e-17,0.20338983050847456,0.20338983050847456,0.8135593220338982,1.2412670766236366e-16,0.8135593220338982,0.8135593220338982,0.5,0.0,0.5,0.5,0.0,0.04140885735742664,0.04140885735742664
random,64,5,64,0.2926196870479071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.940198676069107,0.3156395477798245,10.67293038536239,11.181023131236568,10.582563155709662,0.16860605229088826,10.45529277511778,10.709833536301547,14.964828755726924,0.22709074140320706,14.818499063044715,15.176474052006782,86.94595136642204,1.4942840268034254,85.79995254249457,88.18788331701448,14.3480170635105,0.8072155135558966,13.648977012019122,14.898469219309879,0.22033898305084745,0.03170896090486391,0.19661016949152538,0.2440677966101695,2.203389830508475,0.3170896090486391,1.9661016949152539,2.4406779661016946,0.35,0.10458250331675945,0.275,0.425,0.5288135593220339,0.022098991204076764,0.5118644067796609,0.5491525423728814,2.1152542372881356,0.08839596481630706,2.0474576271186438,2.196610169491525,0.525,0.055901699437494734,0.5,0.575,0.0,0.2926196870479071,0.2926196870479071
cvt,64,5,64,0.2926196870479071,0.03389830508474576,0.011984860698077079,0.023728813559322035,0.04406779661016949,0.03333333333333333,0.011785113019775794,0.023333333333333334,0.043333333333333335,8.985416935874275,0.12126914311627984,8.88922085931873,9.081613012429818,9.252883484620122,0.17035189690823735,9.123616620685217,9.383555790221509,12.755866478579298,0.04206432393929541,12.723009423733915,12.788723533424683,72.34773234132759,6.6432650943435565,66.20324751394176,76.11908452013738,21.821621472637435,0.8258144038403898,21.207688150732576,22.415207644885932,0.3254237288135593,0.027850299534160978,0.3016949152542373,0.34576271186440677,3.254237288135593,0.2785029953416099,3.0508474576271185,3.457627118644068,0.525,0.05590169943749474,0.5,0.575,0.5694915254237289,0.035146510768352075,0.5389830508474576,0.5898305084745763,2.2779661016949158,0.1405860430734083,2.1559322033898303,2.359322033898305,0.8,0.11180339887498948,0.7,0.875,0.0,0.2926196870479071,0.2926196870479071
fps,64,5,64,0.2926196870479071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.304388312483272,5.322883001315423,18.468953719785894,26.393122765676814,22.19153570711773,5.4272181239978,18.293717737657293,26.326136748767688,24.12128321905635,3.6290626673602144,21.576787857705096,26.810267456518808,37.844932399572286,0.5212073859399673,37.42240602153795,38.193767152579234,43.86159498108073,0.41038479874816153,43.564311931283946,44.17080787419847,0.176271186440678,0.13270223139703988,0.0711864406779661,0.28135593220338984,1.7627118644067792,1.3270223139703987,0.711864406779661,2.8135593220338984,0.5,0.19764235376052372,0.35,0.65,0.43728813559322033,0.2319000864608416,0.2542372881355932,0.6000000000000001,1.7491525423728813,0.9276003458433664,1.0159322033898306,2.440677966101695,0.625,0.23385358667337133,0.45,0.8,0.0,0.2926196870479071,0.2926196870479071
kennard_stone,64,5,64,0.2926196870479071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55406451763293,0.0,32.55406451763293,32.55406451763293,32.72260134081649,0.0,32.72260134081649,32.72260134081649,31.762009584396232,1.2420688803538389e-11,31.762009584387158,31.762009584405302,39.44159351415851,0.0,39.44159351415851,39.44159351415851,45.29578865581164,0.0,45.29578865581164,45.29578865581164,0.03389830508474576,0.0,0.03389830508474576,0.03389830508474576,0.3389830508474576,0.0,0.3389830508474576,0.3389830508474576,0.125,0.0,0.125,0.125,0.0847457627118644,0.0,0.0847457627118644,0.0847457627118644,0.3389830508474576,0.0,0.3389830508474576,0.3389830508474576,0.375,0.0,0.375,0.375,0.0,0.2926196870479071,0.2926196870479071
ward,64,5,64,0.2926196870479071,0.05084745762711864,7.757919228897728e-18,0.05084745762711864,0.05084745762711864,0.05,0.0,0.05,0.05,8.931022784076735,0.0,8.931022784076735,8.931022784076735,9.319357424795777,0.0,9.319357424795777,9.319357424795777,12.782388395571111,0.0,12.782388395571111,12.782388395571111,75.26160437996928,0.0,75.26160437996928,75.26160437996928,23.410635058599397,0.0,23.410635058599397,23.410635058599397,0.3559322033898305,0.0,0.3559322033898305,0.3559322033898305,3.5593220338983054,4.965068306494546e-16,3.5593220338983054,3.5593220338983054,0.5,0.0,0.5,0.5,0.576271186440678,0.0,0.576271186440678,0.576271186440678,2.305084745762712,0.0,2.305084745762712,2.305084745762712,0.875,0.0,0.875,0.875,0.0,0.2926196870479071,0.2926196870479071
