method,dimension,metric,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high
random,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2638913391171067,0.21939787770473,1.1729827504590555,1.360087144640872,1.214703556327318,0.2673838819849557,1.0954827575738006,1.329203003995921,1.758088525516468,0.21712453970274223,1.6655918305734732,1.8556218764802535,12.635406426411176,3.8779098652089097,11.075221763073415,14.232174597581562,1.8733512137406556,0.4806854767414468,1.674856838591104,2.0948657151373125,0.05277777777777778,0.05548240798524749,0.030555555555555558,0.07777777777777778,0.5277777777777777,0.5548240798524748,0.3055555555555555,0.7777777777777777,0.1333333333333333,0.1279619826583191,0.08333333333333333,0.18333333333333335,0.2,0.11736770717475652,0.15,0.25,0.8,0.46947082869902607,0.6111111111111109,1.0,0.3916666666666666,0.19701723141310307,0.3083333333333333,0.475
cvt,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0087491028798157,0.0493217111945927,0.9868388439048196,1.0287888071698195,1.0066561612331364,0.07341506036700668,0.9755180867866979,1.0361446627702675,1.0812150542635233,0.012775887252770459,1.076020396203333,1.0869734369776716,6.469451488661505,0.2702848617252624,6.3586216502863,6.586784921513263,3.2761230102885635,0.1257104965826456,3.228034275598165,3.3307250648024813,0.0638888888888889,0.03726779962499649,0.04722222222222222,0.07784722222222186,0.6388888888888887,0.3726779962499649,0.4722222222222222,0.7784722222222183,0.19166666666666665,0.11180339887498947,0.14166666666666666,0.24166666666666664,0.20833333333333331,0.05944020862647989,0.18611111111111106,0.2361111111111111,0.8333333333333333,0.23776083450591956,0.7441666666666665,0.9444444444444444,0.4333333333333333,0.12565617248750865,0.38333333333333325,0.4833333333333333
scopemap_hd,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.288085482386692,0.13848872908377718,1.2284286071754225,1.3465654543021104,1.2795077155667551,0.13638446000750834,1.2218435886658419,1.3376103386768943,1.4183361305382804,0.04972176181900884,1.3982232719925174,1.4415168849110327,8.479469097368938,1.8225036628030615e-15,8.479469097368938,8.479469097368938,1.46798445673106,0.13583789410915856,1.4120963311566275,1.5249105974908175,0.11111111111111112,0.050981274193458166,0.08888888888888889,0.13333333333333333,1.1111111111111112,0.5098127419345817,0.888888888888889,1.334027777777774,0.29166666666666663,0.11939173323522982,0.24166666666666664,0.3416666666666667,0.18611111111111114,0.07271536540836286,0.15555555555555556,0.2166666666666667,0.7444444444444446,0.29086146163345145,0.6333333333333332,0.8666666666666666,0.4083333333333333,0.12652577575270804,0.3583333333333333,0.4666666666666666
fps,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8995246018672038,0.2579777693732634,1.790363416308365,2.011716666875301,1.9515625334675115,0.26458309962716287,1.8452037387685725,2.063810544124885,1.982402791500188,0.11327568765351423,1.9370868597204576,2.032709286756751,4.065164488916535,0.16381501076037436,3.9934946333021633,4.129629024629628,4.937063749837366,0.10810766229668095,4.892751128361779,4.983598453166722,0.1333333333333333,0.08903496768733687,0.09993055555555555,0.1722916666666663,1.3333333333333335,0.8903496768733687,0.9722222222222221,1.722222222222222,0.24999999999999994,0.12681431837544704,0.19999999999999996,0.3083333333333333,0.2972222222222222,0.08695819912499182,0.2611111111111111,0.3361111111111111,1.1888888888888889,0.3478327964999673,1.0555555555555554,1.3333333333333333,0.4749999999999999,0.1241933033950991,0.425,0.525
kennard_stone,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008652557000977,4.556259157007654e-16,2.0008652557000977,2.0008652557000977,1.8374133106275878,4.556259157007654e-16,1.8374133106275878,1.8374133106275878,1.9358404481666285,4.556259157007654e-16,1.9358404481666285,1.9358404481666285,4.129860956621139,1.8225036628030615e-15,4.129860956621139,4.129860956621139,4.988696073816104,9.112518314015307e-16,4.988696073816104,4.988696073816104,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665
ward,2,euclidean,20,2,0.03821004413177751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1581013101661835,2.278129578503827e-16,1.1581013101661835,1.1581013101661835,1.2644742476725104,0.0,1.2644742476725104,1.2644742476725104,1.124284374766281,2.278129578503827e-16,1.124284374766281,1.124284374766281,5.952545277383091,9.112518314015307e-16,5.952545277383091,5.952545277383091,3.5064282927160506,0.0,3.5064282927160506,3.5064282927160506,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.22222222222222224,2.8476619731297836e-17,0.22222222222222224,0.22222222222222224,0.888888888888889,1.1390647892519134e-16,0.888888888888889,0.888888888888889,0.5,0.0,0.5,0.5
random,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391810126957942,1.5258305806428518,16.709700937594462,18.015480645452538,16.442618933682517,1.5934919801482579,15.717117066622162,17.07981546403299,18.168308391224997,0.40771895961461,18.009781393368648,18.349470179560182,50.10219201384028,0.8187861015463573,49.76541880242027,50.45320122411867,18.070596238303544,2.1088961320035473,17.201337807714665,18.965753245785486,0.10277777777777779,0.07491602402871034,0.07777777777777778,0.14166666666666666,1.0277777777777775,0.7491602402871035,0.7770833333333331,1.3888888888888888,0.175,0.06567241047103435,0.14999999999999997,0.2,0.19722222222222224,0.1305695525655962,0.15277777777777776,0.2611111111111111,0.788888888888889,0.5222782102623847,0.6,1.0444444444444445,0.2416666666666667,0.11438879019220995,0.19999999999999996,0.29166666666666663
cvt,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.547943096671005,0.3697792197132004,14.399199796268306,14.70636412705975,14.57386903312987,0.854556795432338,14.198363640678124,14.92588352098232,15.604149584005246,0.10332040083906052,15.558532461081493,15.64594055881987,50.472258780268305,0.5203258599833014,50.26654445128859,50.699967523318804,20.065712677514544,1.2454219088956848,19.51002923160147,20.57295636410208,0.11388888888888889,0.02835654364078002,0.10277777777777777,0.125,1.1388888888888888,0.2835654364078002,1.0000000000000002,1.2500000000000002,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.1972222222222222,0.02835654364078002,0.18611111111111106,0.20833333333333334,0.7888888888888888,0.11342617456312008,0.7333333333333332,0.8333333333333334,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
scopemap_hd,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.61910192507536,0.7052371950491028,14.33331779263164,14.93055572159273,13.7309662606316,0.22022018028113693,13.64096300656305,13.820969514700149,16.402891422059177,0.11360852733967787,16.355275095246437,16.452419717593234,50.08204634926114,0.29180839990783475,49.962183820920735,50.21380423467613,9.565600992180784,1.540072012242177,8.934778924176642,10.256357924929675,0.11944444444444444,0.020352641585140177,0.11111111111111112,0.1277777777777778,1.1944444444444442,0.2035264158514018,1.111111111111111,1.277777777777778,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.2444444444444444,0.05526238435053778,0.21944444444444447,0.26944444444444443,0.9777777777777776,0.2210495374021511,0.8888888888888887,1.0777777777777777,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326
fps,64,euclidean,20,64,0.3432949342867421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.499548559905325,4.774187727181177,23.517475315483342,27.729265095774036,24.97790287867457,5.177436850426637,22.814595803833654,27.312646593409532,25.11367549725825,4.55769301163975,23.26547851765897,27.082972756643784,40.415323494513096,2.4583894252800893,39.36467357585273,41.48813940143312,44.92308421859622,2.6241138888666145,43.82194912340183,46.06422680347848,0.08055555555555557,0.07534844334311107,0.05,0.1138888888888889,0.8055555555555556,0.7534844334311106,0.4999999999999999,1.1388888888888888,0.14166666666666666,0.11180339887498947,0.09166666666666667,0.19166666666666665,0.2,0.11169437554445213,0.15555555555555556,0.25555555555555554,0.8,0.44677750217780854,0.6333333333333333,1.0111111111111108,0.3166666666666667,0.18653504131242177,0.2416666666666667,0.4
