method,dimension,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high,explained_variance_ratio_std,explained_variance_ratio_ci_low,explained_variance_ratio_ci_high
random,2,5,2,0.038210044131777504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3492791332637244,0.2793275170666813,1.1344153282013092,1.5641429383261396,1.3327243499370571,0.29885714775788297,1.112769775428584,1.578666093884778,1.6635904003266824,0.1044877225213187,1.5850724777771703,1.7421864097855448,9.62859138785185,0.8997469984937397,9.018374346211512,10.367077970722715,2.0990556155718467,0.575449894510131,1.6637497176338496,2.516521286968301,0.01111111111111111,0.02484519974999766,0.0,0.03333333333333333,0.11111111111111109,0.2484519974999766,0.0,0.3333333333333333,0.03333333333333333,0.07453559924999299,0.0,0.1,0.07777777777777777,0.06334307917217433,0.03333333333333333,0.1333333333333333,0.31111111111111106,0.2533723166886973,0.13333333333333333,0.5333333333333332,0.2,0.13944333775567924,0.1,0.3,0.0,0.038210044131777504,0.038210044131777504
cvt,2,5,2,0.038210044131777504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039460920441277,0.057887299727558725,0.9938689255067568,1.0830899021587892,1.0306082837914756,0.08541033874242565,0.9552246860383882,1.0909502215267344,1.0871132122472837,0.01624199676051439,1.0748321101731206,1.099252487431074,6.450587310692721,0.1361939412172856,6.351125318959069,6.550049302426375,3.266083690666045,0.1034241747711916,3.1926367504229987,3.344382501193258,0.06666666666666667,0.046481112585226414,0.03333333333333333,0.1,0.6666666666666666,0.46481112585226414,0.3333333333333333,0.9999999999999998,0.2,0.13944333775567927,0.1,0.3,0.18888888888888886,0.030429030972509225,0.16666666666666666,0.2111111111111111,0.7555555555555554,0.1217161238900369,0.6666666666666666,0.8444444444444443,0.39999999999999997,0.0912870929175277,0.3333333333333333,0.4666666666666666,0.0,0.038210044131777504,0.038210044131777504
fps,2,5,2,0.038210044131777504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8389264623345185,0.25176924868394507,1.6621010394988027,2.0597030371995215,1.8684359424847123,0.27672837459085986,1.6509352650767535,2.0734181738959814,1.9452345765763106,0.08745633214457468,1.8751852176514419,2.0106831184585063,4.066969825013537,0.18177424640857529,3.920469509674704,4.2088413513832545,4.924774545560239,0.11232232082171921,4.824873327099527,5.000353460504665,0.16666666666666666,0.08784104611578832,0.1,0.23333333333333334,1.6666666666666665,0.8784104611578831,0.9999999999999998,2.333333333333333,0.3,0.13944333775567927,0.19999999999999998,0.4,0.29999999999999993,0.09296222517045283,0.2333333333333333,0.37777777777777777,1.1999999999999997,0.3718489006818113,0.9333333333333332,1.511111111111111,0.4666666666666666,0.13944333775567927,0.3666666666666666,0.5666666666666667,0.0,0.038210044131777504,0.038210044131777504
kennard_stone,2,5,2,0.038210044131777504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000865255700097,0.0,2.000865255700097,2.000865255700097,1.8374133106275874,0.0,1.8374133106275874,1.8374133106275874,1.935840448166628,0.0,1.935840448166628,1.935840448166628,4.129860956621137,0.0,4.129860956621137,4.129860956621137,4.988696073816105,0.0,4.988696073816105,4.988696073816105,0.05555555555555556,7.757919228897728e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.038210044131777504,0.038210044131777504
ward,2,5,2,0.038210044131777504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1581013101661832,0.0,1.1581013101661832,1.1581013101661832,1.2644742476725104,0.0,1.2644742476725104,1.2644742476725104,1.1242843747662812,0.0,1.1242843747662812,1.1242843747662812,5.9525452773830905,0.0,5.9525452773830905,5.9525452773830905,3.5064282927160506,0.0,3.5064282927160506,3.5064282927160506,0.05555555555555556,7.757919228897728e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.22222222222222224,3.1031676915590914e-17,0.22222222222222224,0.22222222222222224,0.888888888888889,1.2412670766236366e-16,0.888888888888889,0.888888888888889,0.5,0.0,0.5,0.5,0.0,0.038210044131777504,0.038210044131777504
random,64,5,64,0.34329493428674207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.651568007087647,1.0045515731250958,16.84379825441521,18.39536644553251,17.144039783277144,0.6831501411122797,16.650711259490883,17.692043880185683,17.97706549702404,0.19356823971475348,17.820251387036354,18.12283799050408,50.10174141473505,0.7298644894535105,49.49512590296073,50.60236934186633,17.658591882733663,2.7659237443352156,15.453880166546842,19.863303598920492,0.1,0.02484519974999766,0.07777777777777778,0.11111111111111112,0.9999999999999998,0.24845199749997657,0.7777777777777777,1.111111111111111,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.34329493428674207,0.34329493428674207
cvt,64,5,64,0.34329493428674207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59386249913511,0.41118562256989744,14.248560431736678,14.896589542180555,14.629504029568986,0.964031377827079,13.925475053864085,15.333533005273889,15.672012311174385,0.05799692095128691,15.628125285241364,15.71589933710741,50.44006402635665,0.31496404868279987,50.19194798580321,50.67929309543854,20.600588306811623,1.7801018542872395,18.977283340645698,21.818821340018964,0.13333333333333333,0.03042903097250923,0.11111111111111112,0.15555555555555556,1.3333333333333333,0.3042903097250923,1.111111111111111,1.5555555555555554,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.21111111111111108,0.024845199749997663,0.18888888888888886,0.22222222222222224,0.8444444444444443,0.09938079899999065,0.7555555555555554,0.888888888888889,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.34329493428674207,0.34329493428674207
fps,64,5,64,0.34329493428674207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52563140373721,0.8186080820800014,20.958497795688537,22.210843995379413,20.604168925063597,1.3838533687881418,19.7447918475546,21.767562347959608,21.208819199474814,0.7090423755377956,20.620811184201056,21.704151775623778,38.530792247169764,0.7463403760962632,37.97536310782873,39.15752804964536,42.75380320823067,0.3987622739424315,42.4539787047825,43.078069486211895,0.07777777777777777,0.07453559924999298,0.02222222222222222,0.13333333333333336,0.7777777777777777,0.7453559924999298,0.22222222222222218,1.3333333333333333,0.1,0.09128709291752768,0.03333333333333333,0.16666666666666666,0.14444444444444443,0.03042903097250923,0.1222222222222222,0.16666666666666666,0.5777777777777777,0.12171612389003691,0.4888888888888888,0.6666666666666666,0.19999999999999998,0.07453559924999298,0.16666666666666666,0.26666666666666666,0.0,0.34329493428674207,0.34329493428674207
kennard_stone,64,5,64,0.34329493428674207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.15782812555082,0.0,34.15782812555082,34.15782812555082,34.34710445941236,0.0,34.34710445941236,34.34710445941236,33.2735186717793,1.0290315905975733e-10,33.27351867170415,33.273518671854454,45.42533742078743,0.0,45.42533742078743,45.42533742078743,49.325807081819576,0.0,49.325807081819576,49.325807081819576,0.05555555555555556,7.757919228897728e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5,0.5,0.0,0.34329493428674207,0.34329493428674207
ward,64,5,64,0.34329493428674207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38472369328198,0.0,14.38472369328198,14.38472369328198,13.573460566011633,0.0,13.573460566011633,13.573460566011633,15.737990015438822,0.0,15.737990015438822,15.737990015438822,50.284374298560664,0.0,50.284374298560664,50.284374298560664,22.153628741778476,0.0,22.153628741778476,22.153628741778476,0.05555555555555556,7.757919228897728e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.34329493428674207,0.34329493428674207
