method,dimension,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high,explained_variance_ratio_std,explained_variance_ratio_ci_low,explained_variance_ratio_ci_high
random,2,5,2,0.04612098694312365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8190948265843476,0.2518883558770648,0.6280712138904645,1.0068573343561007,0.6505125824716045,0.234015446603793,0.4744488080292193,0.8265763569139898,1.589918905406893,0.13502071710493452,1.4836846344159533,1.6883152154224403,15.668529485793988,4.967913153357476,12.020992562651799,20.107551223804002,1.8096559121159643,0.5256624601170893,1.3419795287131007,2.221201128998696,0.12857142857142856,0.1373956004405096,0.04285714285714286,0.24285714285714288,1.2857142857142856,1.373956004405096,0.4285714285714285,2.4285714285714284,0.19999999999999998,0.13944333775567927,0.1,0.3,0.3857142857142857,0.16444092047459055,0.24285714285714283,0.5,1.5428571428571427,0.6577636818983622,0.9714285714285713,2.0,0.3333333333333333,0.11785113019775792,0.2333333333333333,0.4333333333333333,0.0,0.04612098694312365,0.04612098694312365
cvt,2,5,2,0.04612098694312365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7947656337207778,0.04562793038570548,0.7557808629530335,0.8279119603512484,0.8624865493727862,0.10378290056880576,0.7692889628483489,0.9306566617752905,1.001073350092166,0.008033735998131373,0.9951581435147814,1.007817207793572,5.141186780691287,0.0,5.141186780691287,5.141186780691287,3.6761949171274493,0.03613240499777123,3.653442236599382,3.707028398357283,0.12857142857142856,0.11736911946539273,0.04285714285714286,0.21428571428571427,1.2857142857142858,1.1736911946539272,0.42857142857142855,2.142857142857143,0.13333333333333333,0.13944333775567924,0.03333333333333333,0.23333333333333334,0.3142857142857143,0.039123039821797594,0.2857142857142857,0.34285714285714286,1.2571428571428571,0.15649215928719037,1.1428571428571428,1.3714285714285714,0.29999999999999993,0.07453559924999299,0.2333333333333333,0.3333333333333333,0.0,0.04612098694312365,0.04612098694312365
fps,2,5,2,0.04612098694312365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151898298978783,0.3957070830598029,1.8436530413982912,2.446293219549431,2.2002838567925624,0.40014703399245394,1.902095202823937,2.4972952507796236,1.8957459859718935,0.07375699916348871,1.8418450242909852,1.9531930981444408,3.95059308052594,0.09265818877474169,3.8868323319981704,4.023758302748886,4.813253245137368,0.13069539396891583,4.7148229833782125,4.9132698045838135,0.02857142857142857,0.03912303982179758,0.0,0.05714285714285714,0.2857142857142857,0.39123039821797573,0.0,0.5714285714285714,0.06666666666666667,0.09128709291752768,0.0,0.13333333333333333,0.11428571428571428,0.12975644374703535,0.014285714285714285,0.21428571428571427,0.45714285714285713,0.5190257749881414,0.05714285714285714,0.8571428571428571,0.13333333333333333,0.13944333775567927,0.03333333333333333,0.23333333333333334,0.0,0.04612098694312365,0.04612098694312365
kennard_stone,2,5,2,0.04612098694312365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4824533364143195,0.0,2.4824533364143195,2.4824533364143195,2.618483219994456,0.0,2.618483219994456,2.618483219994456,2.1603768829860934,0.0,2.1603768829860934,2.1603768829860934,3.9744509211312895,0.0,3.9744509211312895,3.9744509211312895,4.880369716369653,0.0,4.880369716369653,4.880369716369653,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.04612098694312365,0.04612098694312365
ward,2,5,2,0.04612098694312365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867415151437902,0.0,0.7867415151437902,0.7867415151437902,0.9451702404592964,1.2412670766236366e-16,0.9451702404592964,0.9451702404592964,1.0034117744409952,0.0,1.0034117744409952,1.0034117744409952,5.81886015868779,0.0,5.81886015868779,5.81886015868779,3.8029684154974293,0.0,3.8029684154974293,3.8029684154974293,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,2.142857142857143,0.0,2.142857142857143,2.142857142857143,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,1.1428571428571428,0.0,1.1428571428571428,1.1428571428571428,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.04612098694312365,0.04612098694312365
random,64,5,64,0.39113004705825777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.191919055523233,3.6059969709906543,12.965942145094209,18.11321223345462,9.609945621058987,0.6811494653410028,9.013322194285786,10.124127448771684,18.350891072487553,0.3555383875271247,18.03504834292378,18.630291252842873,72.6606883967579,1.2772731021532762,71.5041651261887,73.31407380873081,18.885978778623283,2.2022706796274196,17.260254622138735,20.60701420817861,0.4428571428571429,0.13739560044050964,0.3428571428571428,0.5571428571428572,4.428571428571429,1.3739560044050962,3.428571428571428,5.432142857142838,0.4666666666666666,0.13944333775567927,0.3666666666666666,0.5666666666666667,0.7714285714285714,0.07824607964359513,0.7,0.8285714285714285,3.0857142857142854,0.3129843185743805,2.8,3.314285714285714,0.6,0.09128709291752767,0.5333333333333333,0.6666666666666666,0.0,0.39113004705825777,0.39113004705825777
cvt,64,5,64,0.39113004705825777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.149808849134576,4.245767102565465,6.979264465366183,13.32790467664589,7.039754578087967,0.742046072525904,6.622273330853079,7.72486991232352,16.484321244433346,0.06475879774208401,16.433863451602043,16.534779037264645,60.816032003080444,16.1999123970675,48.7469145373371,72.88514946882381,26.50476876367094,3.753957324789783,23.634531826356717,29.228303150150413,0.6142857142857142,0.10832679205787932,0.5142857142857142,0.6857142857142857,6.142857142857143,1.083267920578793,5.142857142857143,6.857142857142857,0.7333333333333333,0.09128709291752772,0.6666666666666666,0.8,0.9,0.03912303982179762,0.8714285714285713,0.9285714285714286,3.6,0.15649215928719049,3.4857142857142853,3.7142857142857144,0.7666666666666667,0.09128709291752773,0.7,0.8333333333333334,0.0,0.39113004705825777,0.39113004705825777
fps,64,5,64,0.39113004705825777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25654975305861,9.050643835344042,12.404262468193247,26.10883703792398,20.63736438599826,10.706023255219264,12.806814898044614,28.745936323928163,25.61164625376198,7.204835151197325,20.17645975870977,31.35404021572067,42.6172329697443,3.99617932225762,39.64271471071543,45.821421627916784,48.401387118516816,3.6548566361598076,45.691552082029986,51.368463603231895,0.37142857142857144,0.25455042401722094,0.1714285714285714,0.5714285714285714,3.7142857142857144,2.545504240172209,1.7142857142857142,5.7142857142857135,0.4666666666666666,0.13944333775567927,0.3666666666666666,0.5666666666666667,0.8142857142857143,0.17928429140015906,0.6567857142857143,0.9142857142857144,3.257142857142857,0.7171371656006362,2.6285714285714286,3.6571428571428575,0.7,0.13944333775567927,0.5999999999999999,0.8,0.0,0.39113004705825777,0.39113004705825777
kennard_stone,64,5,64,0.39113004705825777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.317482163485543,3.972054645195637e-15,31.317482163485543,31.317482163485543,34.83889420827133,0.0,34.83889420827133,34.83889420827133,35.39151301521447,2.991020700875433e-10,35.391513014946945,35.39151301534823,47.80080492729513,0.0,47.80080492729513,47.80080492729513,52.99562092148237,7.944109290391274e-15,52.99562092148237,52.99562092148237,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.4285714285714284,0.0,1.4285714285714284,1.4285714285714284,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,3.4285714285714284,0.0,3.4285714285714284,3.4285714285714284,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.39113004705825777,0.39113004705825777
ward,64,5,64,0.39113004705825777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.233210031632702,0.0,6.233210031632702,6.233210031632702,6.192157790277255,0.0,6.192157790277255,6.192157790277255,16.542996425356975,0.0,16.542996425356975,16.542996425356975,42.742196554108,0.0,42.742196554108,42.742196554108,27.464648290855042,0.0,27.464648290855042,27.464648290855042,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,7.1428571428571415,9.930136612989092e-16,7.1428571428571415,7.1428571428571415,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,3.7142857142857144,0.0,3.7142857142857144,3.7142857142857144,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.39113004705825777,0.39113004705825777
