method,dimension,metric,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high
random,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6060089526639665,0.31437569934277326,1.4750847307049755,1.7439842279586555,1.1262307038199668,0.25119127389441537,1.0202912586339468,1.2283339408712994,1.7946896373658845,0.1455852105173145,1.733428479630609,1.858774521034015,12.494457775243871,2.5573435184567423,11.410841013790614,13.586818229881775,1.786979950953328,0.3553384349866456,1.6330724332438689,1.9455167593168166,0.1472222222222222,0.10705308903831115,0.10277777777777777,0.19444444444444442,1.472222222222222,1.0705308903831114,1.0,1.944444444444444,0.18333333333333332,0.11969747440993463,0.1333333333333333,0.2333333333333333,0.3361111111111111,0.13900579874872118,0.2777777777777778,0.3972222222222222,1.3444444444444443,0.5560231949948847,1.1,1.5888888888888888,0.3833333333333333,0.12211584951084109,0.33333333333333326,0.4333333333333333
cvt,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0505036612108944,0.06903152497836068,1.0194765404912995,1.0796240582869945,0.8364197826672759,0.09985163753895218,0.7914034872257082,0.8755703886021261,1.2262570462328986,0.0058766472266750976,1.2236568551224987,1.2287238106643779,7.744652495385855,0.1834383535520603,7.700444940315047,7.8285196830598,3.35810332654133,0.03308118714079656,3.344226185525455,3.372081412396483,0.21666666666666665,0.08040669852065532,0.1833333333333333,0.25277777777777777,2.166666666666667,0.804066985206553,1.8055555555555558,2.5,0.275,0.1354546168145415,0.22499999999999995,0.3416666666666666,0.45,0.0762591934614733,0.4166666666666667,0.4805555555555556,1.8,0.3050367738458932,1.6666666666666667,1.9333333333333331,0.575,0.12652577575270804,0.525,0.6333333333333332
scopemap_hd,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2338466843600808,0.12821091329714226,1.1813974666422966,1.2917709465947473,1.1670665328580154,0.19084326141040275,1.0926433826194655,1.2532059804479732,1.5352775155099223,0.07074327964694985,1.5060541985864646,1.56516308960902,10.385700590189622,0.48662091025630305,10.173083446584213,10.58675071160929,1.7680974301141539,0.27565237094752243,1.6528733047084339,1.880621646261637,0.06666666666666668,0.06647144906845764,0.038888888888888896,0.09444444444444446,0.6666666666666666,0.6647144906845764,0.38888888888888884,0.9444444444444444,0.15833333333333335,0.1478402013871695,0.09979166666666667,0.22499999999999995,0.21111111111111108,0.10754511572744302,0.16666666666666666,0.2611111111111111,0.8444444444444443,0.4301804629097721,0.6666666666666666,1.0333333333333334,0.3833333333333333,0.12211584951084109,0.3333333333333333,0.4333333333333334
fps,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023393575356145,0.24572955943720418,1.9200142874503698,2.1348998630729916,2.07335661988916,0.33833311706648195,1.9239133833977071,2.2079983092988607,1.9774598060963793,0.10539745268023289,1.9313925904519533,2.0217303072679265,4.1268944190145485,0.12853218704495653,4.074586990033101,4.179030802519562,4.922641927166924,0.12202076343667871,4.8700583105206015,4.974479346966953,0.09166666666666666,0.10397399334952676,0.049930555555555554,0.1361805555555552,0.9166666666666664,1.0397399334952675,0.4999999999999999,1.3888888888888888,0.19166666666666665,0.17333164641554297,0.12499999999999997,0.26666666666666666,0.22777777777777777,0.12343892008419775,0.175,0.2861111111111111,0.9111111111111111,0.493755680336791,0.711111111111111,1.1222222222222222,0.44166666666666676,0.1555503340811216,0.375,0.5083333333333334
kennard_stone,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1851779325914875,4.556259157007654e-16,2.1851779325914875,2.1851779325914875,2.3878839037265314,0.0,2.3878839037265314,2.3878839037265314,2.013597143535838,4.556259157007654e-16,2.013597143535838,2.013597143535838,4.143601112336629,9.112518314015307e-16,4.143601112336629,4.143601112336629,4.865230351913244,9.112518314015307e-16,4.865230351913244,4.865230351913244,0.05555555555555556,7.119154932824459e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666663,2.8476619731297836e-17,0.16666666666666663,0.16666666666666663,0.22222222222222224,2.8476619731297836e-17,0.22222222222222224,0.22222222222222224,0.888888888888889,1.1390647892519134e-16,0.888888888888889,0.888888888888889,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665
ward,2,euclidean,20,2,0.033996129810060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189347748556704,1.1390647892519134e-16,0.9189347748556704,0.9189347748556704,0.8323330894646281,0.0,0.8323330894646281,0.8323330894646281,1.277573362124447,2.278129578503827e-16,1.277573362124447,1.277573362124447,8.523199088417645,1.8225036628030615e-15,8.523199088417645,8.523199088417645,3.2811397264064643,0.0,3.2811397264064643,3.2811397264064643,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326,3.3333333333333335,4.556259157007654e-16,3.3333333333333335,3.3333333333333335,0.33333333333333326,5.695323946259567e-17,0.33333333333333326,0.33333333333333326,0.5,0.0,0.5,0.5,2.0,0.0,2.0,2.0,0.6666666666666665,1.1390647892519134e-16,0.6666666666666665,0.6666666666666665
random,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.066660586450388,0.8113340524085151,14.71386010031519,15.38858810260593,13.668703292574964,0.719185955256586,13.359208617099432,13.966951355132485,17.193905537810636,0.2986423557304303,17.064716348341925,17.320881638686956,61.50928592566157,4.611426097321029,59.43727626716454,63.26182619635379,17.59197681790074,1.7761010815739113,16.86748109467574,18.35377491555361,0.11111111111111109,0.05407380704358751,0.08888888888888888,0.13333333333333333,1.1111111111111112,0.5407380704358751,0.888888888888889,1.3333333333333335,0.22499999999999995,0.09785715810206662,0.1833333333333333,0.26666666666666666,0.35,0.11414000272000469,0.3055555555555555,0.39999999999999997,1.4,0.45656001088001874,1.2111111111111112,1.6,0.37499999999999994,0.11939173323522982,0.32499999999999996,0.425
cvt,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.681027133837175,0.29712194007356385,10.552255335531258,10.80268521762725,11.521301209265726,0.5211751343048083,11.282740786404288,11.7222116046605,15.00729207294954,0.06929741408069891,14.979419349553531,15.037548971413852,55.13638274375923,4.971338699121686,53.02342477291607,57.428267102973074,19.71108244897472,1.3654762768779896,19.136696999285785,20.260516888001955,0.125,0.024681203239962184,0.11666666666666665,0.13611111111111113,1.25,0.24681203239962182,1.1666666666666665,1.3611111111111112,0.19166666666666665,0.06105792475542053,0.16666666666666663,0.2166666666666667,0.4666666666666667,0.07939013806570856,0.43611111111111117,0.5055555555555555,1.8666666666666667,0.31756055226283425,1.7444444444444447,2.011111111111111,0.7166666666666666,0.07836039099693791,0.6833333333333332,0.75
scopemap_hd,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46832086254724,0.3825182255952252,11.297442902106354,11.619813940060375,11.776969778896452,0.20248376298259926,11.685067523948229,11.859830376295116,15.523140230205323,0.1140573392982066,15.475539933615638,15.574779571129051,63.29549539883575,0.05002360003967529,63.27501337285793,63.31597742481356,9.45718353045436,0.6092023348035981,9.202322447344514,9.694061923731072,0.1638888888888889,0.02835654364078002,0.15,0.175,1.6388888888888888,0.2835654364078002,1.5277777777777777,1.75,0.3333333333333333,0.07647191129018727,0.29999999999999993,0.3666666666666666,0.3638888888888889,0.03812959673073665,0.3472222222222222,0.3805555555555556,1.4555555555555555,0.1525183869229466,1.3888888888888888,1.5222222222222221,0.5083333333333332,0.1008008864715499,0.4666666666666666,0.5499999999999999
fps,64,euclidean,20,64,0.2935052999448435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.229248034560936,4.5185986704433025,20.432751938959186,24.22226954442632,21.583881488273033,5.261716457084663,19.467093550864384,24.183666312229278,23.39521580360522,4.507959778621875,21.574270296099552,25.419043605176636,39.67411518032976,1.928841616938905,38.91213124532212,40.5473891477656,46.72243897441703,1.5288465029085367,46.08177243714185,47.4099787758517,0.13333333333333333,0.07939013806570856,0.10277777777777777,0.16944444444444443,1.3333333333333335,0.7939013806570855,1.0000000000000002,1.6944444444444442,0.24999999999999994,0.12681431837544704,0.19999999999999996,0.3083333333333333,0.3361111111111111,0.1174714652977236,0.29166666666666663,0.3861111111111111,1.3444444444444443,0.4698858611908944,1.1555555555555554,1.5555555555555556,0.3583333333333333,0.1354546168145415,0.3,0.41666666666666663
