method,dimension,n_repeats,effective_dim,explained_variance_ratio_mean,reference_exact_recall_mean,reference_exact_recall_std,reference_exact_recall_ci_low,reference_exact_recall_ci_high,sample_reference_hit_rate_mean,sample_reference_hit_rate_std,sample_reference_hit_rate_ci_low,sample_reference_hit_rate_ci_high,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_std,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,reference_median_nearest_sample_distance_mean,reference_median_nearest_sample_distance_std,reference_median_nearest_sample_distance_ci_low,reference_median_nearest_sample_distance_ci_high,coverage_radius_mean,coverage_radius_std,coverage_radius_ci_low,coverage_radius_ci_high,max_coverage_radius_mean,max_coverage_radius_std,max_coverage_radius_ci_low,max_coverage_radius_ci_high,mean_sample_nn_distance_mean,mean_sample_nn_distance_std,mean_sample_nn_distance_ci_low,mean_sample_nn_distance_ci_high,reference_coverage_q10_mean,reference_coverage_q10_std,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_enrichment_q10_std,reference_enrichment_q10_ci_low,reference_enrichment_q10_ci_high,reference_cluster_coverage_q10_mean,reference_cluster_coverage_q10_std,reference_cluster_coverage_q10_ci_low,reference_cluster_coverage_q10_ci_high,reference_coverage_q25_mean,reference_coverage_q25_std,reference_coverage_q25_ci_low,reference_coverage_q25_ci_high,reference_enrichment_q25_mean,reference_enrichment_q25_std,reference_enrichment_q25_ci_low,reference_enrichment_q25_ci_high,reference_cluster_coverage_q25_mean,reference_cluster_coverage_q25_std,reference_cluster_coverage_q25_ci_low,reference_cluster_coverage_q25_ci_high,explained_variance_ratio_std,explained_variance_ratio_ci_low,explained_variance_ratio_ci_high
random,2,5,2,0.03399612981006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7878985177568623,0.4300483890524907,1.4334703811779037,2.110371067913671,1.2849726901167156,0.22327109817818222,1.0938591324095268,1.4465319736032884,1.8289197568165196,0.13194301279866852,1.7381741617493958,1.9406657945461359,14.475386469699325,2.8342993351502512,12.165562828342129,16.712446210603588,1.7107398415983677,0.22885400188255955,1.5363278255281998,1.8777454133161833,0.07777777777777777,0.08425417160057277,0.01111111111111111,0.14444444444444443,0.7777777777777777,0.8425417160057279,0.11111111111111109,1.4444444444444442,0.13333333333333333,0.13944333775567927,0.03333333333333333,0.23333333333333334,0.2777777777777778,0.1800205749557739,0.14444444444444443,0.4222222222222222,1.1111111111111112,0.7200822998230956,0.5777777777777777,1.6888888888888889,0.36666666666666664,0.07453559924999299,0.3333333333333333,0.4333333333333333,0.0,0.03399612981006036,0.03399612981006036
cvt,2,5,2,0.03399612981006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051328932565974,0.04881838224968884,1.0128912982579898,1.0869092136586131,0.8440895911141851,0.09165895606137946,0.7707655659901216,0.9117801065758542,1.2238217688609423,0.007972528676529348,1.2177752529857941,1.2298682847360907,7.702718901548883,0.010169463794110437,7.693623056613541,7.707266824016554,3.372162472360958,0.017749262231395856,3.358160258838004,3.385827108100417,0.2,0.09296222517045284,0.1222222222222222,0.2666666666666667,1.9999999999999996,0.9296222517045284,1.222222222222222,2.6666666666666665,0.26666666666666666,0.09128709291752768,0.19999999999999998,0.3333333333333333,0.42222222222222217,0.08425417160057279,0.36666666666666664,0.5,1.6888888888888887,0.33701668640229115,1.4666666666666666,1.9555555555555557,0.5,0.11785113019775792,0.39999999999999997,0.5999999999999999,0.0,0.03399612981006036,0.03399612981006036
fps,2,5,2,0.03399612981006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0123016632647452,0.24361693130689624,1.8279083241224838,2.2095977431453013,2.056622987148023,0.3045466615984096,1.8210969948487576,2.284018603656457,1.915495388476144,0.10791531149853151,1.8339964590612854,2.001898945624489,4.167163377028408,0.15415107622457655,4.0518609220251225,4.282465832031694,4.943532347476475,0.12642974787376163,4.821495970526817,5.0219859892954,0.06666666666666667,0.09128709291752768,0.01111111111111111,0.14444444444444443,0.6666666666666666,0.9128709291752768,0.11111111111111109,1.4444444444444442,0.16666666666666666,0.2041241452319315,0.03333333333333333,0.33333333333333337,0.2,0.12789849370245931,0.11111111111111109,0.2888888888888889,0.8,0.5115939748098373,0.44444444444444436,1.2,0.4666666666666667,0.24720661623652213,0.29999999999999993,0.6666666666666667,0.0,0.03399612981006036,0.03399612981006036
kennard_stone,2,5,2,0.03399612981006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185177932591488,0.0,2.185177932591488,2.185177932591488,2.3878839037265314,0.0,2.3878839037265314,2.3878839037265314,2.0135971435358377,0.0,2.0135971435358377,2.0135971435358377,4.14360111233663,0.0,4.14360111233663,4.14360111233663,4.865230351913245,0.0,4.865230351913245,4.865230351913245,0.05555555555555556,7.757919228897728e-18,0.05555555555555556,0.05555555555555556,0.5555555555555555,0.0,0.5555555555555555,0.5555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.22222222222222224,3.1031676915590914e-17,0.22222222222222224,0.22222222222222224,0.888888888888889,1.2412670766236366e-16,0.888888888888889,0.888888888888889,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.03399612981006036,0.03399612981006036
ward,2,5,2,0.03399612981006036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189347748556702,1.2412670766236366e-16,0.9189347748556702,0.9189347748556702,0.8323330894646281,0.0,0.8323330894646281,0.8323330894646281,1.2775733621244472,0.0,1.2775733621244472,1.2775733621244472,8.523199088417647,0.0,8.523199088417647,8.523199088417647,3.2811397264064643,0.0,3.2811397264064643,3.2811397264064643,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0.5,2.0,0.0,2.0,2.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.03399612981006036,0.03399612981006036
random,64,5,64,0.2935052999448434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1897239439028,1.0137381361925926,13.413734491971985,14.974389318888095,13.113566209240679,1.013122895131456,12.405828761579862,13.969601923071611,17.056862256217624,0.30021269840815823,16.851775674793146,17.315035334988863,63.61957957794452,0.5054416660578945,63.27104211266614,64.06523454112194,16.471514291512808,1.5011786881902123,15.527495308290053,17.7797940643788,0.07777777777777779,0.030429030972509225,0.05555555555555556,0.1,0.7777777777777776,0.30429030972509225,0.5555555555555555,0.9999999999999998,0.19999999999999998,0.07453559924999299,0.16666666666666666,0.26666666666666666,0.4333333333333334,0.13263707095903693,0.33333333333333337,0.5333333333333334,1.7333333333333336,0.5305482838361477,1.3333333333333333,2.1333333333333337,0.4333333333333333,0.09128709291752769,0.3666666666666666,0.5,0.0,0.2935052999448434,0.2935052999448434
cvt,64,5,64,0.2935052999448434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68857729543472,0.4157167845425048,10.373261452015399,11.003893138854043,11.274547443057225,0.6230667612788536,10.754684531125012,11.746587543301624,15.028187598909,0.11646192969121948,14.942417384011401,15.12246439389482,56.648439704083124,6.3912431981148154,51.94409070308029,61.46125411020855,19.617224785959532,1.912801867776802,18.063389537621788,21.080279318874577,0.12222222222222223,0.024845199749997663,0.11111111111111112,0.14444444444444443,1.2222222222222219,0.24845199749997668,1.111111111111111,1.4444444444444442,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5111111111111111,0.09128709291752768,0.45555555555555555,0.5888888888888888,2.0444444444444443,0.3651483716701107,1.8222222222222222,2.3555555555555556,0.8,0.07453559924999302,0.7333333333333333,0.8333333333333334,0.0,0.2935052999448434,0.2935052999448434
fps,64,5,64,0.2935052999448434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.971470836112836,3.409761062318693,18.577159707646487,23.404312401590595,20.056981634791967,3.9136227043237377,17.295351312541563,23.35698092378367,22.248649279714662,3.4035251974248126,19.875117571286342,25.281546465948743,39.083167282335765,1.0982968557033832,38.29220343078537,39.956045856423415,46.40476241610127,1.154559809222731,45.539762302587896,47.31034288806249,0.15555555555555559,0.07243558228002944,0.11111111111111112,0.22222222222222224,1.5555555555555554,0.7243558228002944,1.111111111111111,2.222222222222222,0.26666666666666666,0.09128709291752768,0.19999999999999998,0.3333333333333333,0.34444444444444444,0.10686324478706302,0.2666666666666667,0.4333333333333333,1.3777777777777778,0.4274529791482521,1.0666666666666669,1.7333333333333332,0.3666666666666666,0.074535599249993,0.3333333333333333,0.4333333333333333,0.0,0.2935052999448434,0.2935052999448434
kennard_stone,64,5,64,0.2935052999448434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.30484773495377,0.0,34.30484773495377,34.30484773495377,34.8970895669685,0.0,34.8970895669685,34.8970895669685,34.910934275242525,3.738037714222354e-10,34.910934274969534,34.910934275515515,46.06882231651592,0.0,46.06882231651592,46.06882231651592,51.878669013551054,7.944109290391274e-15,51.878669013551054,51.87866901355106,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.6666666666666665,0.0,1.6666666666666665,1.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.2935052999448434,0.2935052999448434
ward,64,5,64,0.2935052999448434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.985031599255793,0.0,10.985031599255793,10.985031599255793,11.337952489616375,0.0,11.337952489616375,11.337952489616375,15.104378727096977,0.0,15.104378727096977,15.104378727096977,52.42099651889971,7.944109290391274e-15,52.42099651889971,52.42099651889971,20.009560607463225,0.0,20.009560607463225,20.009560607463225,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.6666666666666665,0.0,1.6666666666666665,1.6666666666666665,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5,0.5,2.0,0.0,2.0,2.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.2935052999448434,0.2935052999448434
