dataset,budget,repeats,best_method,best_dimension,best_metric,candidate_method,candidate_dimension,candidate_metric,reference_coverage_q10_delta_mean,reference_coverage_q10_delta_ci_low,reference_coverage_q10_delta_ci_high,paired_repeats
alcohol,60,20,scopemap_hd,full,euclidean,ward,2,euclidean,0.41271186440677965,0.4050847457627119,0.4194915254237289,20
alcohol,60,20,scopemap_hd,full,euclidean,kennard_stone,64,euclidean,0.41271186440677965,0.40593220338983055,0.4194915254237289,20
alcohol,60,20,scopemap_hd,full,euclidean,random,tanimoto,tanimoto,0.38983050847457623,0.3762711864406779,0.40423728813559323,20
alcohol,60,20,scopemap_hd,full,euclidean,kennard_stone,128,euclidean,0.37881355932203387,0.3711864406779661,0.38644067796610165,20
alcohol,60,20,scopemap_hd,full,euclidean,cvt,2,euclidean,0.3694915254237288,0.3550847457627119,0.38389830508474576,20
alcohol,60,20,scopemap_hd,full,euclidean,scopemap_hd,2,euclidean,0.3694915254237288,0.3593220338983051,0.3805084745762711,20
alcohol,60,20,scopemap_hd,full,euclidean,kennard_stone,tanimoto,tanimoto,0.34576271186440677,0.338135593220339,0.3525423728813559,20
alcohol,60,20,scopemap_hd,full,euclidean,fps,tanimoto,tanimoto,0.33728813559322035,0.3228813559322034,0.35169491525423735,20
alcohol,60,20,scopemap_hd,full,euclidean,cvt,tanimoto,tanimoto,0.3279661016949153,0.3203389830508475,0.3347457627118645,20
alcohol,60,20,scopemap_hd,full,euclidean,ward,tanimoto,tanimoto,0.3279661016949153,0.3203389830508475,0.3347457627118645,20
alcohol,60,20,scopemap_hd,full,euclidean,fps,2,euclidean,0.32796610169491525,0.30254237288135594,0.35338983050847456,20
alcohol,60,20,scopemap_hd,full,euclidean,random,2,euclidean,0.3254237288135593,0.30677966101694915,0.3432203389830509,20
alcohol,60,20,scopemap_hd,full,euclidean,scopemap_hd,tanimoto,tanimoto,0.2771186440677966,0.26949152542372884,0.2838983050847458,20
alcohol,60,20,scopemap_hd,full,euclidean,fps,64,euclidean,0.26440677966101694,0.19235169491525425,0.33305084745762714,20
alcohol,60,20,scopemap_hd,full,euclidean,kennard_stone,2,euclidean,0.26016949152542374,0.25254237288135595,0.26694915254237295,20
alcohol,60,20,scopemap_hd,full,euclidean,random,64,euclidean,0.2305084745762712,0.21016949152542375,0.2508474576271187,20
alcohol,60,20,scopemap_hd,full,euclidean,fps,128,euclidean,0.19830508474576272,0.1559322033898305,0.24408898305084722,20
alcohol,60,20,scopemap_hd,full,euclidean,random,128,euclidean,0.17881355932203385,0.15508474576271186,0.20086864406779636,20
alcohol,60,20,scopemap_hd,full,euclidean,kennard_stone,full,euclidean,0.1584745762711864,0.1516737288135593,0.1652542372881356,20
alcohol,60,20,scopemap_hd,full,euclidean,cvt,64,euclidean,0.14661016949152544,0.13135593220338984,0.16355932203389828,20
alcohol,60,20,scopemap_hd,full,euclidean,scopemap_hd,64,euclidean,0.1338983050847458,0.11949152542372883,0.14745762711864407,20
alcohol,60,20,scopemap_hd,full,euclidean,cvt,128,euclidean,0.11694915254237288,0.10508474576271185,0.12966101694915255,20
alcohol,60,20,scopemap_hd,full,euclidean,ward,128,euclidean,0.10762711864406782,0.10084745762711864,0.11440677966101698,20
alcohol,60,20,scopemap_hd,full,euclidean,scopemap_hd,128,euclidean,0.09406779661016948,0.07627118644067794,0.11271186440677965,20
alcohol,60,20,scopemap_hd,full,euclidean,ward,64,euclidean,0.09067796610169492,0.08305084745762711,0.09745762711864407,20
alcohol,60,20,scopemap_hd,full,euclidean,random,full,euclidean,0.06440677966101693,0.0525423728813559,0.07711864406779659,20
alcohol,60,20,scopemap_hd,full,euclidean,cvt,full,euclidean,0.04745762711864406,0.03644067796610169,0.05847457627118643,20
alcohol,60,20,scopemap_hd,full,euclidean,fps,full,euclidean,0.03728813559322034,0.0135593220338983,0.05932203389830509,20
alcohol,60,20,scopemap_hd,full,euclidean,ward,full,euclidean,0.005932203389830512,-0.0016949152542372892,0.012711864406779669,20
oxo_carboxide,21,20,ward,full,euclidean,random,2,euclidean,0.28055555555555556,0.25555555555555565,0.30277777777777776,20
oxo_carboxide,21,20,ward,full,euclidean,kennard_stone,2,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,ward,2,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,kennard_stone,64,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,ward,64,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,kennard_stone,128,euclidean,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,scopemap_hd,tanimoto,tanimoto,0.2777777777777778,0.2777777777777778,0.2777777777777778,20
oxo_carboxide,21,20,ward,full,euclidean,cvt,2,euclidean,0.2694444444444445,0.25277777777777777,0.2861111111111111,20
oxo_carboxide,21,20,ward,full,euclidean,fps,128,euclidean,0.2611111111111111,0.2444444444444444,0.28055555555555556,20
oxo_carboxide,21,20,ward,full,euclidean,fps,64,euclidean,0.25277777777777777,0.2166666666666667,0.2833333333333333,20
oxo_carboxide,21,20,ward,full,euclidean,random,tanimoto,tanimoto,0.2333333333333333,0.17777777777777776,0.2833333333333333,20
