dataset,budget,repeats,method,dimension,metric,reference_coverage_q10_mean,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_exact_recall_mean,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,coverage_radius_mean
alcohol,60,20,random,2,euclidean,0.1211864406779661,0.1008474576271186,0.1423728813559322,1.2118644067796611,0.0033898305084745,0.7798238223090541,0.7357982117376952,0.8220427395151655,1.2256520914448088
alcohol,60,20,cvt,2,euclidean,0.0771186440677966,0.0627118644067796,0.0906779661016949,0.771186440677966,0.0,0.7887591771744804,0.7718022287269112,0.8040030102323398,0.8450462867869017
alcohol,60,20,scopemap_hd,2,euclidean,0.0771186440677966,0.0661016949152542,0.0898305084745762,0.771186440677966,0.0,1.0024783422771988,0.9556326030797304,1.050122201539286,1.059467624574238
alcohol,60,20,fps,2,euclidean,0.1186440677966101,0.0966101694915254,0.1398305084745763,1.1864406779661016,0.0042372881355932,1.4060883891788094,1.3370239113757347,1.470371992334139,1.480332788008745
alcohol,60,20,kennard_stone,2,euclidean,0.1864406779661017,0.1864406779661017,0.1864406779661017,1.8644067796610169,0.0,1.2595524848216746,1.2595524848216746,1.2595524848216746,1.4934744374988862
alcohol,60,20,ward,2,euclidean,0.0338983050847457,0.0338983050847457,0.0338983050847457,0.3389830508474576,0.0,0.8493148672123827,0.8493148672123827,0.8493148672123827,0.8648432919504467
alcohol,60,20,random,64,euclidean,0.2161016949152542,0.197457627118644,0.2347457627118644,2.1610169491525424,0.0008474576271186,10.765161800280165,10.6100085148796,10.903894816295791,14.834371707353789
alcohol,60,20,cvt,64,euclidean,0.3,0.2847457627118644,0.3152542372881356,3.0,0.0254237288135593,9.094046616346048,9.010866772374737,9.182549087062013,12.762106614166676
alcohol,60,20,scopemap_hd,64,euclidean,0.3127118644067796,0.2991525423728813,0.326271186440678,3.1271186440677967,0.0152542372881355,9.380601699311269,9.311702554264546,9.442420350267687,14.016003986205964
alcohol,60,20,fps,64,euclidean,0.1822033898305084,0.1194915254237288,0.2508474576271186,1.8220338983050848,0.0,20.968342531576887,18.61520302347568,23.55643739313569,23.179151792786037
