threshold,dimension,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mcc_mean,mcc_ci_low,mcc_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high
condition1,2,0.6468571428571428,0.6229964285714286,0.6694392857142857,0.3234278383760855,0.2744145060722601,0.3706503856811706,0.7217142857142856,0.6958571428571428,0.7474285714285713
condition1,8,0.6852857142857143,0.663142857142857,0.7081428571428571,0.3858948088731812,0.3400202364702142,0.4311459439979554,0.7748571428571428,0.7517142857142857,0.7977214285714285
condition1,16,0.713,0.6920000000000001,0.7335714285714283,0.4467238872377936,0.4048910537881545,0.4886166597403168,0.793142857142857,0.7705714285714285,0.8157142857142857
condition1,full,0.7615714285714285,0.7401428571428571,0.7828607142857142,0.5365898217230292,0.4945953724632558,0.5777748383688318,0.858,0.8388571428571429,0.8762857142857143
1,2,0.6468571428571428,0.6229964285714286,0.6694392857142857,0.3234278383760855,0.2744145060722601,0.3706503856811706,0.7217142857142856,0.6958571428571428,0.7474285714285713
1,8,0.6852857142857143,0.663142857142857,0.7081428571428571,0.3858948088731812,0.3400202364702142,0.4311459439979554,0.7748571428571428,0.7517142857142857,0.7977214285714285
1,16,0.713,0.6920000000000001,0.7335714285714283,0.4467238872377936,0.4048910537881545,0.4886166597403168,0.793142857142857,0.7705714285714285,0.8157142857142857
1,full,0.7615714285714285,0.7401428571428571,0.7828607142857142,0.5365898217230292,0.4945953724632558,0.5777748383688318,0.858,0.8388571428571429,0.8762857142857143
30,2,0.6510000000000001,0.6281392857142857,0.6741464285714286,0.3373376320190163,0.2868755361826289,0.3905759935167771,0.7045714285714285,0.6762785714285715,0.7321464285714286
30,8,0.6904285714285716,0.6682821428571428,0.7122857142857143,0.4079713430442417,0.3610783835726089,0.4541286912685793,0.7805714285714287,0.7568499999999998,0.8031428571428572
30,16,0.7152857142857141,0.6947107142857142,0.7375750000000001,0.4492292584309926,0.4051185620735604,0.4928360683330677,0.7998571428571428,0.7772821428571427,0.8221464285714286
30,full,0.7785714285714285,0.758567857142857,0.7987142857142855,0.5714927369732457,0.5302587159972221,0.615397941267843,0.8519999999999999,0.8320000000000001,0.8722857142857143
50,2,0.6394444444444445,0.6127777777777778,0.6666666666666665,0.2710482042938943,0.2153137163455852,0.3256499079584249,0.7153703703703705,0.6840694444444444,0.7457453703703701
50,8,0.6855555555555556,0.6594444444444446,0.7116666666666666,0.3542311597077819,0.3051645766715815,0.4052071698467228,0.7614814814814814,0.7285185185185186,0.7933333333333333
50,16,0.6766666666666669,0.6505416666666666,0.7027777777777777,0.3380918994106534,0.2901651955805358,0.3888120759838634,0.7751851851851852,0.7425833333333333,0.8051944444444444
50,full,0.7755555555555556,0.7488888888888888,0.801111111111111,0.5301378836122534,0.478272347683525,0.5775886685825751,0.8425925925925927,0.8140740740740741,0.8718518518518518
