threshold,dimension,r2_mean,r2_ci_low,r2_ci_high,rmse_mean,rmse_ci_low,rmse_ci_high
condition1,2,0.0874509396607786,0.0267273409993885,0.1458638041091603,24.918312998403977,24.017455466035607,25.735436183741985
condition1,8,0.2016690331823998,0.1495955209916352,0.2494524654856561,23.237496298188237,22.48370023145722,23.968463707116925
condition1,16,0.244565204220293,0.1918292134145835,0.2918317484530048,22.602784989557087,21.82342728027116,23.372523410293194
condition1,full,0.4028022537195659,0.3547702678557765,0.449243187366066,19.956285017651915,19.20796298162771,20.696795135418277
1,2,0.0874509396607786,0.0267273409993885,0.1458638041091603,24.918312998403973,24.017455466035607,25.735436183741985
1,8,0.2016690331823998,0.1495955209916352,0.2494524654856561,23.23749629818824,22.48370023145722,23.96846370711693
1,16,0.244565204220293,0.1918292134145835,0.2918317484530048,22.602784989557087,21.82342728027116,23.372523410293194
1,full,0.4028022537195659,0.3547702678557765,0.449243187366066,19.95628501765191,19.20796298162771,20.696795135418277
30,2,0.1354271654762068,0.0802820204646299,0.1927200879583806,24.78864392197456,23.905917199063428,25.76556608157757
30,8,0.2191637562499327,0.1707655964331111,0.2655500358967992,23.54753110893007,22.75772989499101,24.300464471638904
30,16,0.2675797254166276,0.2274009807480543,0.3096012657789183,22.863688948136684,22.13074599639027,23.58239378721432
30,full,0.4140189731208593,0.3695431261090084,0.4546721251246519,20.246068826442528,19.443669720695485,21.042901367421283
50,2,0.0762276277519477,0.0171760228446973,0.136525848559925,24.552721461740084,23.77582194102805,25.37813482270545
50,8,0.1998252128011273,0.1479665895533609,0.2478430361551956,22.867382835830764,22.0864509130681,23.650610320406656
50,16,0.2449449632440056,0.1960760532707675,0.2923961104117737,22.219258274473564,21.406787190063344,23.01070728926364
50,full,0.4251016001162622,0.3748607107226869,0.474771437432099,19.19646043766387,18.360812456401938,20.074529763693477
