dataset,budget,repeats,best_method,best_dimension,candidate_method,candidate_dimension,boundary_coverage_delta_mean,boundary_coverage_delta_ci_low,boundary_coverage_delta_ci_high,paired_repeats
aldol,40,10,weighted_itr_cvt,full,kennard_stone,2,0.09560439560439556,0.0897435897435897,0.10184065934065918,10
aldol,40,10,weighted_itr_cvt,full,kennard_stone,64,0.09560439560439556,0.08937728937728934,0.10183150183150178,10
aldol,40,10,weighted_itr_cvt,full,kennard_stone,128,0.09560439560439556,0.0897435897435897,0.10184065934065918,10
aldol,40,10,weighted_itr_cvt,full,kennard_stone,full,0.09560439560439556,0.08974358974358969,0.10183150183150178,10
aldol,40,10,weighted_itr_cvt,full,fps,full,0.0952380952380952,0.08974358974358967,0.10109890109890107,10
aldol,40,10,weighted_itr_cvt,full,repulsive_fps,full,0.09523809523809519,0.08901098901098899,0.10109890109890107,10
aldol,40,10,weighted_itr_cvt,full,repulsive_fps,128,0.09487179487179484,0.089010989010989,0.10146520146520141,10
aldol,40,10,weighted_itr_cvt,full,repulsive_fps,64,0.09450549450549448,0.08791208791208792,0.10146520146520141,10
aldol,40,10,weighted_itr_cvt,full,fps,128,0.09450549450549448,0.08827838827838826,0.10073260073260071,10
aldol,40,10,weighted_itr_cvt,full,fps,64,0.09304029304029302,0.08644688644688645,0.09963369963369963,10
aldol,40,10,weighted_itr_cvt,full,fps,2,0.0923076923076923,0.08681318681318684,0.09780219780219779,10
aldol,40,10,weighted_itr_cvt,full,repulsive_fps,2,0.08974358974358973,0.08388278388278386,0.09597069597069595,10
aldol,40,10,weighted_itr_cvt,full,cvt,2,0.08351648351648351,0.07545787545787544,0.09230769230769229,10
aldol,40,10,weighted_itr_cvt,full,weighted_itr_cvt,2,0.08315018315018315,0.07692307692307691,0.08937728937728937,10
aldol,40,10,weighted_itr_cvt,full,fps,tanimoto,0.08283067297665835,0.07587226945803585,0.09051629635571237,10
aldol,40,10,weighted_itr_cvt,full,repulsive_fps,tanimoto,0.08173578246570944,0.07478142295660542,0.08832390845164564,10
aldol,40,10,weighted_itr_cvt,full,ward,2,0.08095238095238096,0.07545787545787544,0.08717948717948718,10
aldol,40,10,weighted_itr_cvt,full,kennard_stone,tanimoto,0.07370658538541745,0.06784577952461157,0.07994284912168108,10
aldol,40,10,weighted_itr_cvt,full,ward,64,0.06996336996336995,0.06410256410256408,0.07619047619047617,10
aldol,40,10,weighted_itr_cvt,full,ward,128,0.06630036630036626,0.06043956043956038,0.07252747252747248,10
aldol,40,10,weighted_itr_cvt,full,ward,full,0.06630036630036626,0.060439560439560405,0.07252747252747246,10
aldol,40,10,weighted_itr_cvt,full,cvt,tanimoto,0.06275768027592846,0.0568968744151226,0.06898478650303468,10
aldol,40,10,weighted_itr_cvt,full,ward,tanimoto,0.06275768027592846,0.056896874415122575,0.06935108686933503,10
aldol,40,10,weighted_itr_cvt,full,cvt,64,0.06263736263736262,0.05714285714285713,0.06814102564102552,10
aldol,40,10,weighted_itr_cvt,full,random,tanimoto,0.05910804523943207,0.051429072752065416,0.06714536376032723,10
aldol,40,10,weighted_itr_cvt,full,random,full,0.05750915750915749,0.051282051282051266,0.06336996336996337,10
aldol,40,10,weighted_itr_cvt,full,random,128,0.05677655677655678,0.047619047619047616,0.06593406593406591,10
aldol,40,10,weighted_itr_cvt,full,random,2,0.05604395604395605,0.05054945054945058,0.06153846153846154,10
aldol,40,10,weighted_itr_cvt,full,random,64,0.055311355311355316,0.04725274725274726,0.06337912087912077,10
aldol,40,10,weighted_itr_cvt,full,cvt,128,0.05421245421245421,0.046520146520146514,0.06227106227106226,10
aldol,40,10,weighted_itr_cvt,full,weighted_itr_cvt,tanimoto,0.04085987005695035,0.0349990641961445,0.04708697628405658,10
aldol,40,10,weighted_itr_cvt,full,cvt,full,0.0377289377289377,0.03150183150183148,0.0439652014652013,10
aldol,40,10,weighted_itr_cvt,full,weighted_itr_cvt,64,0.027472527472527465,0.02161172161172159,0.033699633699633684,10
aldol,40,10,weighted_itr_cvt,full,weighted_itr_cvt,128,0.02234432234432233,0.015018315018315031,0.02930402930402929,10
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,kennard_stone,8,0.25,0.25,0.25,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,kennard_stone,16,0.25,0.25,0.25,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,kennard_stone,full,0.25,0.25,0.25,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,weighted_itr_cvt,2,0.24666666666666667,0.24,0.25,20
cobalt_condition1,12,20,weighted_itr_cvt,tanimoto,repulsive_fps,8,0.24333333333333335,0.23333333333333334,0.25,20
