dataset,budget,repeats,method,dimension,failure_recall_mean,failure_recall_ci_low,failure_recall_ci_high,failure_cluster_coverage_mean,failure_cluster_coverage_ci_low,failure_cluster_coverage_ci_high,boundary_coverage_mean,boundary_coverage_ci_low,boundary_coverage_ci_high,boundary_enrichment_mean,boundary_enrichment_ci_low,boundary_enrichment_ci_high,coverage_radius_mean,coverage_radius_ci_low,coverage_radius_ci_high
aldol,40,10,random,2,0.0340136054421768,0.0272108843537415,0.0421768707482993,0.4,0.325,0.4875,0.0395604395604395,0.0358974358974358,0.0428571428571428,1.0790109890109891,0.979102564102564,1.168928571428571,1.0254144398931953,0.8160774103326933,1.257741264169388
aldol,40,10,cvt,2,0.0639455782312925,0.0564625850340135,0.073469387755102,0.625,0.575,0.675,0.012087912087912,0.0076923076923076,0.0164835164835164,0.3296978021978022,0.2098076923076923,0.4595787545787546,0.4434439721173726,0.4403144604528922,0.4463941992747439
aldol,40,10,weighted_itr_cvt,2,0.0408163265306122,0.0387755102040816,0.0428571428571428,0.5,0.4625,0.5375,0.0124542124542124,0.0084249084249084,0.0161172161172161,0.3396886446886447,0.2397802197802197,0.4296062271062271,0.7224179862414515,0.7151952991270244,0.7298885775904853
aldol,40,10,fps,2,0.0768707482993197,0.0707482993197278,0.0836734693877551,0.7375,0.6875,0.7875,0.0032967032967032,0.0021978021978021,0.0043956043956043,0.0899175824175824,0.0599450549450549,0.1198901098901099,0.8389483748850856,0.8069257162280772,0.8710705212719916
aldol,40,10,kennard_stone,2,0.0816326530612244,0.0816326530612244,0.0816326530612244,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.854793707951735,0.854793707951735,0.854793707951735
aldol,40,10,ward,2,0.0748299319727891,0.0748299319727891,0.0748299319727891,0.75,0.75,0.75,0.0146520146520146,0.0146520146520146,0.0146520146520146,0.3996336996336996,0.3996336996336996,0.3996336996336996,0.4395001943742204,0.4395001943742204,0.4395001943742204
aldol,40,10,repulsive_fps,2,0.0687074829931972,0.0551020408163265,0.0829931972789115,0.7,0.625,0.7878124999999983,0.0058608058608058,0.0025641025641025,0.0102564102564102,0.1598534798534798,0.0699358974358974,0.2797435897435897,1.2474307469275736,1.1853357335666586,1.3158757441795426
aldol,40,10,random,64,0.0312925170068027,0.0204081632653061,0.0421768707482993,0.2875,0.1875,0.4,0.0402930402930402,0.0355311355311355,0.0457875457875457,1.098992673992674,0.9691117216117217,1.238864468864469,16.358142173372677,16.287019724870767,16.437178926399405
aldol,40,10,cvt,64,0.0394557823129251,0.0346768707482993,0.0448979591836734,0.6,0.55,0.65,0.0329670329670329,0.03003663003663,0.0355311355311355,0.8991758241758241,0.819249084249084,0.9691117216117217,14.586072833237711,14.557608059022236,14.61456106869655
aldol,40,10,weighted_itr_cvt,64,0.0401360544217687,0.0360544217687074,0.0442176870748299,0.4875,0.4625,0.5,0.0681318681318681,0.0648351648351648,0.0717948717948717,1.8582967032967035,1.7683791208791206,1.9681959706959704,15.274963083996614,15.23669264156714,15.317685877783372
