analysis_type,dataset,primary_metric,primary_best,primary_best_value,primary_best_rank_on_secondary,secondary_metric,secondary_best,secondary_best_value,secondary_best_rank_on_primary,same_winner
prospective_final,aldol,boundary_coverage_mean,cvt / full,0.1927960927960928,35,failure_cluster_coverage_mean,fps / 64,1.0,39,False
prospective_final,aldol,boundary_coverage_mean,cvt / full,0.1927960927960928,45,failure_recall_mean,uncertainty_diversity / tanimoto,0.1802721088435374,20,False
prospective_final,aldol,boundary_coverage_mean,cvt / full,0.1927960927960928,41,coverage_radius_mean,random / 2,0.4486259047153348,17,False
prospective_final,aldol,failure_cluster_coverage_mean,fps / 64,1.0,21,coverage_radius_mean,random / 2,0.4486259047153348,22,False
prospective_final,buchwald_hartwig,boundary_coverage_mean,weighted_itr_cvt / 32,0.0612676056338028,20,failure_cluster_coverage_mean,random / 2,1.0,21,False
prospective_final,buchwald_hartwig,boundary_coverage_mean,weighted_itr_cvt / 32,0.0612676056338028,23,failure_recall_mean,ward / 32,0.0342976646915301,10,False
prospective_final,buchwald_hartwig,boundary_coverage_mean,weighted_itr_cvt / 32,0.0612676056338028,20,coverage_radius_mean,fps / 2,0.0001846013359274,34,False
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,random / 2,1.0,2,coverage_radius_mean,fps / 2,0.0001846013359274,4,False
prospective_final,cobalt,boundary_coverage_mean,random / tanimoto,0.455,43,failure_cluster_coverage_mean,cvt / 2,1.0,26,False
prospective_final,cobalt,boundary_coverage_mean,random / tanimoto,0.455,39,failure_recall_mean,uncertainty_diversity / tanimoto,0.4685714285714285,13,False
prospective_final,cobalt,boundary_coverage_mean,random / tanimoto,0.455,10,coverage_radius_mean,fps / 2,0.342333370690383,41,False
prospective_final,cobalt,failure_cluster_coverage_mean,cvt / 2,1.0,12,coverage_radius_mean,fps / 2,0.342333370690383,2,False
prospective_final,suzuki_miyaura,boundary_coverage_mean,uncertainty / 32,0.0252703471826977,15,failure_cluster_coverage_mean,random / 16,1.0,11,False
prospective_final,suzuki_miyaura,boundary_coverage_mean,uncertainty / 32,0.0252703471826977,27,failure_recall_mean,kennard_stone / 2,0.0285560053981106,20,False
prospective_final,suzuki_miyaura,boundary_coverage_mean,uncertainty / 32,0.0252703471826977,31,coverage_radius_mean,cvt / 2,0.0,15,False
prospective_final,suzuki_miyaura,failure_cluster_coverage_mean,random / 16,1.0,11,coverage_radius_mean,cvt / 2,0.0,29,False
static_boundary,aldol,boundary_coverage_mean,weighted_itr_cvt / full,0.0956043956043956,26,failure_cluster_coverage_mean,kennard_stone / 128,1.0,32,False
static_boundary,aldol,boundary_coverage_mean,weighted_itr_cvt / full,0.0956043956043956,31,failure_recall_mean,fps / 64,0.0952380952380952,26,False
static_boundary,aldol,boundary_coverage_mean,weighted_itr_cvt / full,0.0956043956043956,29,coverage_radius_mean,ward / 2,0.4395001943742204,19,False
static_boundary,aldol,failure_cluster_coverage_mean,kennard_stone / 128,1.0,32,coverage_radius_mean,ward / 2,0.4395001943742204,7,False
static_boundary,cobalt_condition1,boundary_coverage_mean,weighted_itr_cvt / tanimoto,0.25,29,failure_cluster_coverage_mean,weighted_itr_cvt / 2,1.0,32,False
static_boundary,cobalt_condition1,boundary_coverage_mean,weighted_itr_cvt / tanimoto,0.25,23,failure_recall_mean,fps / tanimoto,0.2142857142857142,15,False
static_boundary,cobalt_condition1,boundary_coverage_mean,weighted_itr_cvt / tanimoto,0.25,1,coverage_radius_mean,weighted_itr_cvt / tanimoto,0.4913591468428002,1,True
static_boundary,cobalt_condition1,failure_cluster_coverage_mean,weighted_itr_cvt / 2,1.0,10,coverage_radius_mean,weighted_itr_cvt / tanimoto,0.4913591468428002,29,False
