analysis_type,dataset,metric,best_method,best_dimension,best_value,best_method_space
prospective_final,aldol,failure_recall_mean,uncertainty_diversity,tanimoto,0.1802721088435374,uncertainty_diversity / tanimoto
prospective_final,aldol,failure_cluster_coverage_mean,fps,64,1.0,fps / 64
prospective_final,aldol,boundary_coverage_mean,cvt,full,0.1927960927960928,cvt / full
prospective_final,aldol,boundary_enrichment_mean,cvt,full,2.6292567155067155,cvt / full
prospective_final,aldol,coverage_radius_mean,random,2,0.4486259047153348,random / 2
prospective_final,buchwald_hartwig,failure_recall_mean,ward,32,0.0342976646915301,ward / 32
prospective_final,buchwald_hartwig,failure_cluster_coverage_mean,random,2,1.0,random / 2
prospective_final,buchwald_hartwig,boundary_coverage_mean,weighted_itr_cvt,32,0.0612676056338028,weighted_itr_cvt / 32
prospective_final,buchwald_hartwig,boundary_enrichment_mean,weighted_itr_cvt,32,2.0192781690140844,weighted_itr_cvt / 32
prospective_final,buchwald_hartwig,coverage_radius_mean,fps,2,0.0001846013359274,fps / 2
prospective_final,cobalt,failure_recall_mean,uncertainty_diversity,tanimoto,0.4685714285714285,uncertainty_diversity / tanimoto
prospective_final,cobalt,failure_cluster_coverage_mean,cvt,2,1.0,cvt / 2
prospective_final,cobalt,boundary_coverage_mean,random,tanimoto,0.455,random / tanimoto
prospective_final,cobalt,boundary_enrichment_mean,random,tanimoto,1.1375,random / tanimoto
prospective_final,cobalt,coverage_radius_mean,fps,2,0.342333370690383,fps / 2
prospective_final,suzuki_miyaura,failure_recall_mean,kennard_stone,2,0.0285560053981106,kennard_stone / 2
prospective_final,suzuki_miyaura,failure_cluster_coverage_mean,random,16,1.0,random / 16
prospective_final,suzuki_miyaura,boundary_coverage_mean,uncertainty,32,0.0252703471826977,uncertainty / 32
prospective_final,suzuki_miyaura,boundary_enrichment_mean,uncertainty,32,1.2129766647694935,uncertainty / 32
prospective_final,suzuki_miyaura,coverage_radius_mean,cvt,2,0.0,cvt / 2
static_boundary,aldol,failure_recall_mean,fps,64,0.0952380952380952,fps / 64
static_boundary,aldol,failure_cluster_coverage_mean,kennard_stone,128,1.0,kennard_stone / 128
static_boundary,aldol,boundary_coverage_mean,weighted_itr_cvt,full,0.0956043956043956,weighted_itr_cvt / full
static_boundary,aldol,boundary_enrichment_mean,weighted_itr_cvt,full,2.6076098901098903,weighted_itr_cvt / full
static_boundary,aldol,coverage_radius_mean,ward,2,0.4395001943742204,ward / 2
static_boundary,cobalt_condition1,failure_recall_mean,fps,tanimoto,0.2142857142857142,fps / tanimoto
static_boundary,cobalt_condition1,failure_cluster_coverage_mean,weighted_itr_cvt,2,1.0,weighted_itr_cvt / 2
static_boundary,cobalt_condition1,boundary_coverage_mean,weighted_itr_cvt,tanimoto,0.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_condition1,boundary_enrichment_mean,weighted_itr_cvt,tanimoto,1.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_condition1,coverage_radius_mean,weighted_itr_cvt,tanimoto,0.4913591468428002,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold1,failure_recall_mean,fps,tanimoto,0.2142857142857142,fps / tanimoto
static_boundary,cobalt_threshold1,failure_cluster_coverage_mean,weighted_itr_cvt,2,1.0,weighted_itr_cvt / 2
static_boundary,cobalt_threshold1,boundary_coverage_mean,weighted_itr_cvt,tanimoto,0.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold1,boundary_enrichment_mean,weighted_itr_cvt,tanimoto,1.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold1,coverage_radius_mean,weighted_itr_cvt,tanimoto,0.4913591468428002,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold30,failure_recall_mean,kennard_stone,tanimoto,0.2222222222222222,kennard_stone / tanimoto
static_boundary,cobalt_threshold30,failure_cluster_coverage_mean,weighted_itr_cvt,2,1.0,weighted_itr_cvt / 2
static_boundary,cobalt_threshold30,boundary_coverage_mean,weighted_itr_cvt,tanimoto,0.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold30,boundary_enrichment_mean,weighted_itr_cvt,tanimoto,1.25,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold30,coverage_radius_mean,weighted_itr_cvt,tanimoto,0.4913591468428002,weighted_itr_cvt / tanimoto
static_boundary,cobalt_threshold50,failure_recall_mean,fps,full,0.234090909090909,fps / full
static_boundary,cobalt_threshold50,failure_cluster_coverage_mean,cvt,2,1.0,cvt / 2
static_boundary,cobalt_threshold50,boundary_coverage_mean,cvt,tanimoto,0.3333333333333333,cvt / tanimoto
static_boundary,cobalt_threshold50,boundary_enrichment_mean,cvt,tanimoto,1.6666666666666663,cvt / tanimoto
static_boundary,cobalt_threshold50,coverage_radius_mean,weighted_itr_cvt,tanimoto,0.4913591468428002,weighted_itr_cvt / tanimoto
